California, Climate Division 3, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,24.2,-4.0
195002,32.5,1.4
195003,34.4,-0.9
195004,42.4,1.1
195005,48.6,-0.1
195006,55.5,-1.1
195007,66.1,1.8
195008,63.9,0.9
195009,56.1,0.0
195010,48.8,2.2
195011,40.8,4.4
195012,36.3,6.5
195101,29.9,1.7
195102,32.2,1.1
195103,34.1,-1.2
195104,44.6,3.3
195105,49.0,0.3
195106,58.3,1.7
195107,64.9,0.6
195108,62.5,-0.5
195109,59.1,3.0
195110,44.3,-2.3
195111,35.8,-0.6
195112,26.7,-3.1
195201,23.0,-5.2
195202,28.4,-2.7
195203,27.9,-7.4
195204,42.8,1.5
195205,50.4,1.7
195206,53.7,-2.9
195207,65.5,1.2
195208,63.3,0.3
195209,58.3,2.2
195210,52.0,5.4
195211,32.2,-4.2
195212,29.6,-0.2
195301,35.2,7.0
195302,32.6,1.5
195303,35.5,0.2
195304,40.2,-1.1
195305,42.0,-6.7
195306,51.6,-5.0
195307,65.1,0.8
195308,61.1,-1.9
195309,60.2,4.1
195310,46.0,-0.6
195311,39.3,2.9
195312,31.5,1.7
195401,31.4,3.2
195402,35.0,3.9
195403,32.5,-2.8
195404,45.2,3.9
195405,53.3,4.6
195406,54.6,-2.0
195407,65.0,0.7
195408,59.4,-3.6
195409,54.7,-1.4
195410,46.3,-0.3
195411,39.4,3.0
195412,28.0,-1.8
195501,22.0,-6.2
195502,27.1,-4.0
195503,33.7,-1.6
195504,35.9,-5.4
195505,47.4,-1.3
195506,57.3,0.7
195507,61.6,-2.7
195508,65.0,2.0
195509,56.9,0.8
195510,48.7,2.1
195511,36.0,-0.4
195512,32.9,3.1
195601,30.9,2.7
195602,25.4,-5.7
195603,36.1,0.8
195604,41.3,0.0
195605,48.7,0.0
195606,56.7,0.1
195607,64.0,-0.3
195608,60.6,-2.4
195609,57.6,1.5
195610,44.7,-1.9
195611,35.6,-0.8
195612,30.4,0.6
195701,22.3,-5.9
195702,33.3,2.2
195703,37.0,1.7
195704,41.0,-0.3
195705,47.2,-1.5
195706,59.4,2.8
195707,63.1,-1.2
195708,60.5,-2.5
195709,58.0,1.9
195710,43.7,-2.9
195711,33.8,-2.6
195712,32.7,2.9
195801,30.8,2.6
195802,36.2,5.1
195803,31.0,-4.3
195804,39.2,-2.1
195805,52.8,4.1
195806,55.7,-0.9
195807,63.8,-0.5
195808,66.4,3.4
195809,57.0,0.9
195810,50.1,3.5
195811,37.4,1.0
195812,36.2,6.4
195901,33.7,5.5
195902,29.4,-1.7
195903,37.9,2.6
195904,45.2,3.9
195905,45.6,-3.1
195906,59.6,3.0
195907,67.6,3.3
195908,62.8,-0.2
195909,54.0,-2.1
195910,48.5,1.9
195911,37.7,1.3
195912,28.2,-1.6
196001,25.6,-2.6
196002,29.8,-1.3
196003,38.6,3.3
196004,41.4,0.1
196005,46.9,-1.8
196006,61.7,5.1
196007,66.9,2.6
196008,63.2,0.2
196009,59.0,2.9
196010,46.5,-0.1
196011,35.2,-1.2
196012,30.3,0.5
196101,32.8,4.6
196102,34.9,3.8
196103,35.3,0.0
196104,41.8,0.5
196105,46.3,-2.4
196106,62.0,5.4
196107,66.0,1.7
196108,64.4,1.4
196109,53.3,-2.8
196110,46.2,-0.4
196111,34.3,-2.1
196112,29.4,-0.4
196201,24.2,-4.0
196202,27.5,-3.6
196203,31.0,-4.3
196204,45.0,3.7
196205,45.8,-2.9
196206,57.2,0.6
196207,63.2,-1.1
