California, Climate Division 1, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,14.14,5.00
195002,5.65,-2.10
195003,8.11,1.88
195004,2.37,-0.98
195005,1.49,-0.44
195006,1.24,0.42
195007,0.01,-0.19
195008,0.08,-0.19
195009,0.75,-0.12
195010,12.23,9.23
195011,6.27,-0.39
195012,10.15,1.68
195101,11.04,1.90
195102,7.44,-0.31
195103,2.80,-3.43
195104,2.41,-0.94
195105,2.24,0.31
195106,0.01,-0.81
195107,0.03,-0.17
195108,0.21,-0.06
195109,0.38,-0.49
195110,4.82,1.82
195111,9.50,2.84
195112,15.32,6.85
195201,12.70,3.56
195202,7.10,-0.65
195203,5.52,-0.71
195204,1.62,-1.73
195205,1.48,-0.45
195206,2.33,1.51
195207,0.43,0.23
195208,0.09,-0.18
195209,0.29,-0.58
195210,0.46,-2.54
195211,3.57,-3.09
195212,18.44,9.97
195301,15.34,6.20
195302,2.41,-5.34
195303,6.75,0.52
195304,4.74,1.39
195305,4.79,2.86
195306,1.63,0.81
195307,0.00,-0.20
195308,0.84,0.57
195309,0.17,-0.70
195310,2.89,-0.11
195311,9.46,2.80
195312,3.94,-4.53
195401,16.62,7.48
195402,5.99,-1.76
195403,6.20,-0.03
195404,4.86,1.51
195405,0.13,-1.80
195406,1.95,1.13
195407,0.05,-0.15
195408,1.14,0.87
195409,0.64,-0.23
195410,1.54,-1.46
195411,6.45,-0.21
195412,9.20,0.73
195501,4.86,-4.28
195502,2.31,-5.44
195503,2.04,-4.19
195504,5.51,2.16
195505,0.10,-1.83
195506,0.19,-0.63
195507,0.18,-0.02
195508,0.04,-0.23
195509,1.10,0.23
195510,1.71,-1.29
195511,8.46,1.80
195512,22.91,14.44
195601,17.06,7.92
195602,10.94,3.19
195603,1.93,-4.30
195604,1.42,-1.93
195605,2.41,0.48
195606,0.78,-0.04
195607,0.30,0.10
195608,0.10,-0.17
195609,0.39,-0.48
195610,6.99,3.99
195611,0.54,-6.12
195612,3.16,-5.31
195701,6.68,-2.46
195702,8.66,0.91
195703,9.60,3.37
195704,2.89,-0.46
195705,5.16,3.23
195706,0.10,-0.72
195707,0.30,0.10
195708,0.04,-0.23
195709,2.98,2.11
195710,7.59,4.59
195711,5.30,-1.36
195712,9.79,1.32
195801,11.82,2.68
195802,20.74,12.99
195803,8.25,2.02
195804,5.72,2.37
195805,1.59,-0.34
195806,2.23,1.41
195807,0.65,0.45
195808,0.36,0.09
195809,0.60,-0.27
195810,0.81,-2.19
195811,3.25,-3.41
195812,4.21,-4.26
195901,13.68,4.54
195902,9.75,2.00
195903,3.55,-2.68
195904,0.64,-2.71
195905,0.83,-1.10
195906,0.14,-0.68
195907,0.02,-0.18
195908,0.25,-0.02
195909,2.38,1.51
195910,0.70,-2.30
195911,0.27,-6.39
195912,3.24,-5.23
196001,7.14,-2.00
196002,12.52,4.77
196003,9.14,2.91
196004,2.65,-0.70
196005,4.53,2.60
196006,0.01,-0.81
196007,0.08,-0.12
196008,0.02,-0.25
196009,0.07,-0.80
196010,1.46,-1.54
196011,9.86,3.20
196012,7.39,-1.08
196101,5.29,-3.85
196102,8.24,0.49
196103,9.62,3.39
196104,2.77,-0.58
196105,2.92,0.99
196106,0.57,-0.25
196107,0.06,-0.14
196108,0.57,0.30
196109,0.81,-0.06
196110,2.62,-0.38
196111,7.83,1.17
196112,5.65,-2.82
196201,3.27,-5.87
196202,10.34,2.59
196203,6.42,0.19
196204,1.62,-1.73
196205,1.41,-0.52
196206,0.11,-0.71
196207,0.07,-0.13
196208,1.23,0.96
196209,1.03,0.16
196210,11.36,8.36
196211,5.73,-0.93
196212,6.20,-2.27
196301,4.05,-5.09
196302,7.25,-0.50
196303,7.73,1.50
196304,10.35,7.00
196305,2.45,0.52
196306,0.52,-0.30
196307,0.07,-0.13
196308,0.07,-0.20
196309,0.31,-0.56
196310,4.98,1.98
196311,11.39,4.73
196312,2.74,-5.73
196401,10.91,1.77
196402,0.89,-6.86
196403,4.08,-2.15
196404,0.63,-2.72
196405,1.51,-0.42
196406,1.31,0.49
196407,0.32,0.12
196408,0.07,-0.20
196409,0.14,-0.73
196410,2.05,-0.95
196411,10.27,3.61
196412,23.96,15.49
196501,9.95,0.81
196502,1.65,-6.10
196503,1.55,-4.68
196504,7.03,3.68
196505,0.35,-1.58
196506,0.65,-0.17
196507,0.17,-0.03
196508,1.22,0.95
196509,0.03,-0.84
196510,0.65,-2.35
196511,10.82,4.16
196512,6.74,-1.73
196601,11.81,2.67
196602,4.43,-3.32
196603,5.25,-0.98
196604,1.86,-1.49
196605,0.44,-1.49
196606,0.39,-0.43
196607,0.18,-0.02
196608,0.37,0.10
196609,0.95,0.08
196610,0.47,-2.53
196611,11.85,5.19
196612,9.57,1.10
196701,13.03,3.89
196702,0.93,-6.82
196703,8.61,2.38
196704,6.14,2.79
196705,1.11,-0.82
196706,1.10,0.28
196707,0.04,-0.16
196708,0.07,-0.20
196709,0.41,-0.46
196710,3.06,0.06
196711,4.04,-2.62
196712,6.83,-1.64
196801,10.48,1.34
196802,6.90,-0.85
196803,4.80,-1.43
196804,0.52,-2.83
196805,1.72,-0.21
196806,0.36,-0.46
196807,0.03,-0.17
196808,1.54,1.27
196809,0.36,-0.51
196810,3.13,0.13
196811,6.51,-0.15
196812,14.93,6.46
196901,16.38,7.24
196902,9.82,2.07
196903,2.14,-4.09
196904,3.26,-0.09
196905,0.71,-1.22
196906,1.05,0.23
196907,0.11,-0.09
196908,0.00,-0.27
196909,0.45,-0.42
196910,3.69,0.69
196911,2.33,-4.33
196912,16.08,7.61
197001,21.74,12.60
197002,4.00,-3.75
197003,3.51,-2.72
197004,1.45,-1.90
197005,0.92,-1.01
197006,0.85,0.03
197007,0.02,-0.18
197008,0.00,-0.27
197009,0.08,-0.79
197010,3.42,0.42
197011,15.55,8.89
197012,13.59,5.12
197101,8.36,-0.78
197102,1.92,-5.83
197103,10.76,4.53
197104,3.07,-0.28
197105,1.75,-0.18
197106,0.88,0.06
197107,0.19,-0.01
197108,0.44,0.17
197109,1.77,0.90
197110,1.31,-1.69
197111,7.35,0.69
197112,8.41,-0.06
197201,7.69,-1.45
197202,7.09,-0.66
197203,6.09,-0.14
197204,3.76,0.41
197205,1.19,-0.74
197206,0.82,0.00
197207,0.01,-0.19
197208,0.37,0.10
197209,1.73,0.86
197210,3.04,0.04
197211,7.04,0.38
197212,8.69,0.22
197301,11.99,2.85
197302,7.26,-0.49
197303,5.24,-0.99
197304,0.96,-2.39
197305,0.64,-1.29
197306,0.08,-0.74
197307,0.11,-0.09
197308,0.05,-0.22
197309,2.43,1.56
197310,5.67,2.67
197311,19.75,13.09
197312,10.84,2.37
197401,12.09,2.95
197402,6.63,-1.12
197403,11.79,5.56
197404,4.27,0.92
197405,0.31,-1.62
