OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,TREATMENT_ID,TREATMENT_NAME,TREATMENT_TYPE,START_DATE,END_DATE,TREATED_AC,GIS_ACRES,RX_CONSUM,PRE_CON_CLASS,POST_CON_CLASS,GlobalID,SHAPE_Length,SHAPE_Area
1,2017,CA,CDF,BEU,7515,LAMACCHIA NORTH VMP- NOVEMBER 17,,2017/11/07 00:00:00,2017/11/21 00:00:00,137,137.59695,,,,{7CB94DD8-6636-49D4-B789-495A49CED57A},4401.08872393497,863682.129861311
2,2017,CA,CDF,LNU,7044,UNIT 3,,2017/06/30 00:00:00,2017/06/30 00:00:00,22,22.47967,,,,{327CFE31-70F4-470D-B9A8-6BD50E8813EB},1980.51901135164,149089.487055647
3,2017,CA,CDF,TCU,6682,WINVMP-5-BROADCAST BURN,3,2017/05/25 00:00:00,2017/05/25 00:00:00,33,98.407043,,,,{4D230E62-26A3-4E10-A4EC-F9E2F985C778},3770.56378049482,650156.175786117
4,2017,CA,CDF,TUU,6741,HERBERT BURN,7,2017/06/06 00:00:00,2017/06/06 00:00:00,223,222.59424,,,,{5FC56DF1-A530-4A5B-9A59-2A2DB2DD796E},9627.38491976289,1386134.00676995
5,2017,CA,CDF,RRU,6547,COLORADO NORTH 2017,,2017/05/25 00:00:00,2017/05/25 00:00:00,152,152.42838,,,,{24EC9B26-F7E2-4DF1-A195-3DBFFC5FAEC5},5380.28077417764,889765.88386155
6,2017,CA,CDF,SLU,7824,BURN PLOT 3,,2017/11/13 00:00:00,2017/11/13 00:00:00,14,14.252863,,,,{B57B7CDC-217C-4FA8-A2E7-D39B460E8B0E},1579.10705069881,87189.941744857
7,2017,CA,CDF,TCU,6721,SARBB-JANUARY-2017,,2017/01/01 00:00:00,2017/01/31 00:00:00,64,63.699196,,,,{A738006C-7B6C-4E7E-A111-1DA26B531FCD},4682.97351692237,414925.137179769
8,2017,CA,CDF,SCU,6889,VALLEY BURN JUNE 2017,7,2017/06/28 00:00:00,2017/06/29 00:00:00,17.10000038,16.327023,,,,{909D29F1-9EE1-4326-B3B1-63A3AD6652C8},1996.94437005852,104696.019543337
9,2017,CA,CDF,FKU,7293,2017 BROADCAST BURN,3,2017/10/06 00:00:00,2017/10/07 00:00:00,26,38.925823,,,,{A4BEEF85-A9C9-4EDC-9256-3248A4613A8F},3637.16272871632,248035.553452049
10,2017,CA,CDF,SLU,7822,BURN PLOT 1,,2017/10/31 00:00:00,2017/10/31 00:00:00,11,11.142562,,,,{A99B744C-4BE3-46D1-8009-C71730658922},1238.08461061935,68165.0874980658
11,2017,CA,CDF,SLU,7461,VIERRA #2,,2017/11/08 00:00:00,2017/11/08 00:00:00,21.95999908,21.955715,,,,{77C670D4-FC11-4AFD-AC52-936DBFDAACC7},1907.45397786685,134314.308562039
12,2017,CA,CDF,SLU,7982,MOLINARI,,2018/02/13 00:00:00,2018/02/13 00:00:00,119,119.08285,,,,{77F95443-BE38-4559-B65B-42812112AE76},3534.48272357119,730552.994410598
13,2017,CA,CDF,CZU,8060,UCSC BROADCAST BURN NMC,3,2018/02/14 00:00:00,2018/02/14 00:00:00,12.2,12.214596,,,,{3CD863CB-B4EE-43D3-9A68-D494042B0631},2096.00026245704,77662.2953083082
14,2017,CA,CDF,CZU,6564,2017 VMP BROADCAST BURN,3,2017/05/31 00:00:00,2017/05/31 00:00:00,8.89999962,8.899601,,,,{5841F7D8-9453-492A-A798-299F895177E2},1379.37144376295,56608.4261074235
15,2017,CA,CDF,HUU,7285,20170927_JONESBEACH,,2017/09/27 00:00:00,2017/09/27 00:00:00,101,95.903671,,,,{F1946539-4860-4E75-86F0-C4344D7C2E18},4379.64162312922,657459.395455101
16,2017,CA,CDF,VNC,6649,RX BURN,3,2017/05/30 00:00:00,2017/05/31 00:00:00,110,103.15312,,,,{0E93F95E-49AA-4AB1-B1FE-58E454DC1A9C},3697.11626693826,613025.821954068
17,2017,CA,CDF,MVU,5643,2016 BLOCK 6 UNIT 1 - BROADCAST B,3,2017/01/25 00:00:00,2017/02/28 00:00:00,34.88999939,34.889915,,,,{E7F27E7A-EBDB-4F85-AFBD-5C43C3D0A302},1754.54331386673,200213.869650149
18,2017,CA,CDF,AEU,6635,2017 SPRING BROADCAST BURN,3,2017/05/26 00:00:00,2017/05/26 00:00:00,26,26.388813,,,,{15142411-FB8B-4760-A6E4-98EAFE346D8C},2619.71068319753,174652.972614433
19,2017,CA,CDF,LNU,6636,MAY ACR BURN,3,2017/05/30 00:00:00,2017/05/31 00:00:00,18,16.851601,,,,{B78E99E9-0DD6-4E02-A278-F06E7FF9CBAF},1998.83614284102,111108.975273498
20,2017,CA,CDF,MVU,6526,GATE,,2017/05/20 00:00:00,2017/05/23 00:00:00,446,446.68854,,,,{C75D7FA8-EC72-40F5-9A01-1B2620DA714F},10753.7498389369,2557536.73934716
21,2017,CA,CDF,TCU,6722,WVMPBB-MARCH-2017 ,,2017/03/28 00:00:00,2017/03/29 00:00:00,331,331.52042,,,,{40EF8ABB-19A3-46D9-B43D-AE69FBB7B237},6269.38596906198,2165704.79015779
22,2017,CA,CDF,LMU,7391,HLFG RX 5,,2017/10/31 00:00:00,2017/10/31 00:00:00,40.79999924,40.808758,,,,{6B4C37A8-1B07-4406-9A84-CF72D0D3DC93},2333.96228521988,284530.824217655
23,2017,CA,CDF,CZU,7433,PLOT 5,,2017/11/07 00:00:00,2017/11/07 00:00:00,9,9.2213573,,,,{8188276E-530A-471B-BD34-AA4EC71CEF0E},1153.333707002,58640.6096086062
24,2017,CA,CDF,SLU,7490,STOCK POND,,2017/11/15 00:00:00,2017/11/15 00:00:00,215,215.15915,,,,{DE8B1C85-6236-47EC-928C-2B77196C87EA},5863.83335408434,1315740.15880957
25,2017,CA,CDF,CZU,7431,UCSC BROADCAST BURN CP2,3,2017/11/07 00:00:00,2017/11/07 00:00:00,15,14.975819,,,,{8BB9EEA9-29F1-46A4-9C28-B8F4948E79EE},1594.87888657647,95241.3618693454
26,2017,CA,CDF,SHU,7446,10-30-17 RX BURN,3,2017/10/30 00:00:00,2017/10/30 00:00:00,72,72.035492,,,,{3BCBA9F9-F96D-4DD8-B374-FFB1C56064A2},3310.52105773024,505238.759504397
27,2017,CA,CDF,HUU,7413,2017_TREX,7,2017/10/02 00:00:00,2017/10/11 00:00:00,391,392.05167,,,,{C2951836-C070-4EC9-A969-EB07888292D8},28359.4750212799,2813158.95515819
28,2017,CA,CDF,MEU,8007,FEBRUARY 2018 PRESCRIBED FIRE,3,2018/02/14 00:00:00,2018/02/15 00:00:00,155,723.73022,,,,{E8810866-E633-4219-A3CF-BFFE89F9C89C},12561.0150119286,4838241.87752199
29,2017,CA,CDF,LMU,6833,HLFG RX 2,,2017/06/01 00:00:00,2017/06/30 00:00:00,38,38.789814,,,,{BD89187F-5F00-48C0-A0CF-892D23BEB589},2080.65098803868,270252.832012303
30,2017,CA,CDF,LMU,6845,HLFG RX 3,,2017/09/27 00:00:00,2017/09/27 00:00:00,29,29.894783,,,,{7623C912-4593-4B9A-9BC2-9D89F23D73F1},1905.73019004353,208255.197187279
31,2017,CA,CDF,MVU,6004,2016 BLOCK 6 UNIT 3 - BROADCAST B,3,2017/02/20 00:00:00,2017/03/20 00:00:00,36.13000107,36.133923,,,,{54B8D980-4DA1-40FB-B01F-5EE0635FD262},1936.62376353378,207397.639041823
32,2017,CA,CDF,TGU,3824,BERLEMAN,,2017/05/25 00:00:00,2017/05/25 00:00:00,626,629.50836,,,,{D8C9C8AD-4A63-4AD9-BC6B-DFF8691885E1},11019.297319199,4355156.39820605
33,2017,CA,CDF,HUU,7405,FOXCAMPUNIT_F,,2017/10/31 00:00:00,2017/10/31 00:00:00,15,15.924831,,,,{8EBB29D2-A05C-49B2-87C8-E85B4F42759A},1531.61994350355,111066.613254797
34,2017,CA,CDF,HUU,7290,2017_HUNT_VMP,,2017/10/05 00:00:00,2017/10/06 00:00:00,394,394.22903,,,,{6153EFAC-D766-4FAF-8003-5AABF8A5F1FA},9055.18227745445,2761765.75839749
35,2017,CA,CDF,TCU,7468,SARBB-OCTOBER-2017,,2017/10/01 00:00:00,2017/10/31 00:00:00,12,12.094528,,,,{E59B1166-7CC6-4F94-92B3-2384C3B7FC81},1225.72527541904,78772.0806929304
36,2017,CA,CDF,SCU,7525,UPPER HALLS VMP,,2017/09/01 00:00:00,2017/11/02 00:00:00,300,389.72052,,,,{93F2706B-BF92-4727-9BFE-34391F14D112},7979.88581719995,2500142.01826447
37,2017,CA,CDF,MVU,7975,CHICO RAVINE RX BURN,3,2018/01/31 00:00:00,2018/02/14 00:00:00,101,100.66965,,,,{BB5300D2-0232-42A2-B57B-EC2770E5D01B},4366.91721854998,579011.080560605
38,2017,CA,CDF,LNU,8003,2018 BURN_2,7,2018/02/27 00:00:00,2018/03/27 00:00:00,4,4.1985435,,,,{DAF2D232-76A0-4E91-B070-7C507AAD4556},1638.49738917244,27771.4995889117
39,2017,CA,CDF,LMU,8072,HLFG RX 7,,2018/02/08 00:00:00,2018/02/08 00:00:00,157,157.48972,,,,{25ADC30E-ED08-4511-989A-EC2787083C2D},5275.886577711,1097933.51417531
40,2017,CA,CDF,TGU,8075,BURROWS/JOACHIM 1 & 2,,2018/01/02 00:00:00,2018/02/06 00:00:00,214,213.51497,,,,{9ADD6E56-8401-407C-8352-D1C5EEA03FC4},10165.9046530671,1476558.02364549
