latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
42.927,-121.616,306.2,1,1,2020-12-01,0600,Terra,MODIS,18,6.1NRT,267.4,12,N
43.086,-124.297,308.7,1.2,1.1,2020-12-01,0600,Terra,MODIS,49,6.1NRT,277.3,15.5,N
47.457,-120.549,301.8,1,1,2020-12-01,0600,Terra,MODIS,44,6.1NRT,268.5,10.3,N
45.836,-123.734,300.1,1.1,1,2020-12-01,0600,Terra,MODIS,18,6.1NRT,274,9.2,N
42.926,-121.628,301.7,1,1,2020-12-01,0600,Terra,MODIS,31,6.1NRT,267.8,9.8,N
36.654,-119.603,306.8,1,1,2020-12-01,0600,Terra,MODIS,69,6.1NRT,275,12.9,N
43.087,-124.282,301,1.1,1,2020-12-01,1010,Aqua,MODIS,37,6.1NRT,275.8,9.6,N
43.864,-118.48,317,4.4,1.9,2020-12-01,1755,Terra,MODIS,77,6.1NRT,273.9,166.5,D
43.865,-118.535,302.8,4.4,1.9,2020-12-01,1755,Terra,MODIS,54,6.1NRT,273.7,81.9,D
33.548,-115.993,309.8,2.5,1.5,2020-12-01,1800,Terra,MODIS,46,6.1NRT,293.1,21.5,D
43.863,-118.489,321.4,4.4,1.9,2020-12-01,1800,Terra,MODIS,81,6.1NRT,274,201.3,D
44.643,-119.327,343.2,2.3,1.5,2020-12-01,1935,Terra,MODIS,93,6.1NRT,276.6,183.1,D
44.649,-119.354,302.8,2.3,1.5,2020-12-01,1935,Terra,MODIS,54,6.1NRT,274.9,31.5,D
42.929,-121.633,305.4,1.9,1.4,2020-12-01,1935,Terra,MODIS,61,6.1NRT,273.1,27,D
42.924,-121.609,324.2,2,1.4,2020-12-01,1935,Terra,MODIS,83,6.1NRT,273.3,69.3,D
42.917,-121.637,313.7,1.9,1.4,2020-12-01,1935,Terra,MODIS,66,6.1NRT,272.9,40.3,D
42.651,-123.213,336.7,1.6,1.3,2020-12-01,1935,Terra,MODIS,90,6.1NRT,278.7,84.4,D
48.291,-117.918,308.6,2.1,1.4,2020-12-01,1935,Terra,MODIS,67,6.1NRT,270.9,42.5,D
42.496,-120.439,312.7,2.3,1.5,2020-12-01,1935,Terra,MODIS,73,6.1NRT,275.4,51.2,D
42.499,-120.444,309.1,2.3,1.5,2020-12-01,1935,Terra,MODIS,68,6.1NRT,274.9,44.8,D
41.204,-120.362,306.6,2.6,1.5,2020-12-01,1935,Terra,MODIS,56,6.1NRT,278.9,42.6,D
44.424,-123.421,301.4,1.4,1.2,2020-12-01,1935,Terra,MODIS,47,6.1NRT,275.5,13.2,D
44.633,-119.335,343,2.3,1.5,2020-12-01,1935,Terra,MODIS,89,6.1NRT,277.7,172.3,D
44.639,-119.302,320.7,2.3,1.5,2020-12-01,1935,Terra,MODIS,80,6.1NRT,275.3,73.4,D
44.646,-119.331,322.6,2.3,1.5,2020-12-01,1935,Terra,MODIS,82,6.1NRT,274.5,80.3,D
